Test Event,Type,COI,MOE,Design Point,Sorter (Ignore),Maneuver Group,Scenario Inject Complexity,Time of Day,Focus Position,Cyber Compromise,MOP1,MOP2,MOP3,MOP4,MOP5,MOP6,MOP7,MOP8,MOP9,Survey Count,Event Type,Aircrew Flight Equipment
D1101,Demo,1,1,1,11.1,Log,None,Log,Log,Log,1,2,3,9,10,,,,,3,Aircraft,Cold Weather
V1101,Vary,1,1,1,11.1,Slow Flight,None,,Back,None,1,2,3,9,10,,,,,4,Aircraft,Normal
V1110,Vary,1,1,10,11.1,Aerobatics,None,,Back,None,1,2,3,9,10,,,,,4,Aircraft,Normal
V1102,Vary,1,1,2,11.2,Instrument,None,,Front,None,1,2,3,9,10,,,,,4,Aircraft,Normal
V1103,Vary,1,1,3,11.3,Slow Flight,None,,Front,None,1,2,3,9,10,,,,,4,Aircraft,Normal
V1104,Vary,1,1,4,11.4,Aircraft Handling Characteristics,None,,Front,None,1,2,3,9,10,,,,,4,Aircraft,Normal
V1105,Vary,1,1,5,11.5,Stall,None,,Front,None,1,2,3,9,10,,,,,4,Aircraft,Normal
V1106,Vary,1,1,6,11.6,Instrument,None,,Back,None,1,2,3,9,10,,,,,4,Aircraft,Normal
V1107,Vary,1,1,7,11.7,Aerobatics,None,,Front,None,1,2,3,9,10,,,,,4,Aircraft,Normal
V1108,Vary,1,1,8,11.8,Aircraft Handling Characteristics,None,,Back,None,1,2,3,9,10,,,,,4,Aircraft,Normal
V1109,Vary,1,1,9,11.9,Stall,None,,Back,None,1,2,3,9,10,,,,,4,Aircraft,Normal
D1201,Demo,1,2,1,12.1,Radar Approach,None,,Log,Log,2,3,9,10,11,,,,,1,Aircraft,
V1201,Vary,1,2,1,12.1,SFO Approach,None,Day,Back,None,2,3,9,10,11,,,,,2,Aircraft,
V1210,Vary,1,2,10,12.1,Precision Approach,None,Night,Front,None,2,3,9,10,11,,,,,2,Aircraft,
V1211,Vary,1,2,11,12.11,Precision Approach,None,Night,Back,None,2,3,9,10,11,,,,,2,Aircraft,
V1212,Vary,1,2,12,12.12,Straight-In (Visual) Approach,None,Day,Back,None,2,3,9,10,11,,,,,2,Aircraft,
V1213,Vary,1,2,13,12.13,Precision Approach,None,Day,Front,None,2,3,9,10,11,,,,,2,Aircraft,
V1214,Vary,1,2,14,12.14,Straight-In (Visual) Approach,None,Night,Back,None,2,3,9,10,11,,,,,2,Aircraft,
V1215,Vary,1,2,15,12.15,Overhead Approach,None,Day,Back,None,2,3,9,10,11,,,,,2,Aircraft,
V1216,Vary,1,2,16,12.16,Overhead Approach,None,Night,Front,None,2,3,9,10,11,,,,,2,Aircraft,
V1217,Vary,1,2,17,12.17,Straight-In (Visual) Approach,None,Night,Front,None,2,3,9,10,11,,,,,2,Aircraft,
V1218,Vary,1,2,18,12.18,SFO Approach,None,Day,Front,None,2,3,9,10,11,,,,,2,Aircraft,
D1202,Demo,1,2,2,12.2,Log,None,Log,Log,Log,2,3,9,10,11,,,,,1,Aircraft,
V1202,Vary,1,2,2,12.2,Non-Precision Approach,None,Night,Front,None,2,3,9,10,11,,,,,2,Aircraft,
D1203,Demo,1,2,3,12.3,Log,None,Log,Log,Log,2,3,9,10,11,,,,,1,Aircraft,
V1203,Vary,1,2,3,12.3,Straight-In (Visual) Approach,None,Day,Front,None,2,3,9,10,11,,,,,2,Aircraft,
D1204,Demo,1,2,4,12.4,Log,None,Log,Log,Log,2,3,9,10,11,,,,,1,Aircraft,
V1204,Vary,1,2,4,12.4,Overhead Approach,None,Night,Back,None,2,3,9,10,11,,,,,2,Aircraft,
D1205,Demo,1,2,5,12.5,Log,None,Log,Log,Log,2,3,9,10,11,,,,,1,Aircraft,
V1205,Vary,1,2,5,12.5,Non-Precision Approach,None,Day,Front,None,2,3,9,10,11,,,,,2,Aircraft,
D1206,Demo,1,2,6,12.6,Log,None,Log,Log,Log,2,3,9,10,11,,,,,1,Aircraft,
V1206,Vary,1,2,6,12.6,Overhead Approach,None,Day,Front,None,2,3,9,10,11,,,,,2,Aircraft,
V1207,Vary,1,2,7,12.7,Precision Approach,None,Day,Back,None,2,3,9,10,11,,,,,2,Aircraft,
V1208,Vary,1,2,8,12.8,Non-Precision Approach,None,Night,Back,None,2,3,9,10,11,,,,,2,Aircraft,
V1209,Vary,1,2,9,12.9,Non-Precision Approach,None,Day,Back,None,2,3,9,10,11,,,,,2,Aircraft,
L1301,Log,1,3,1,13.1,Log,None,,Log,Log,2,3,9,10,11,,,,,1,Aircraft,
V1301,Vary,1,3,1,13.1,SID,None,Day,Back,None,2,3,9,10,11,,,,,2,Aircraft,
V1310,Vary,1,3,10,13.1,Vectors,None,Night,Front,None,2,3,9,10,11,,,,,2,Aircraft,
V1311,Vary,1,3,11,13.11,Vectors,None,Night,Back,None,2,3,9,10,11,,,,,2,Aircraft,
V1312,Vary,1,3,12,13.12,Star,None,Day,Front,None,2,3,9,10,11,,,,,2,Aircraft,
V1302,Vary,1,3,2,13.2,SID,None,Night,Front,None,2,3,9,10,11,,,,,2,Aircraft,
V1303,Vary,1,3,3,13.3,Vectors,None,Day,Front,None,2,3,9,10,11,,,,,2,Aircraft,
V1304,Vary,1,3,4,13.4,Vectors,None,Day,Back,None,2,3,9,10,11,,,,,2,Aircraft,
V1305,Vary,1,3,5,13.5,Star,None,Night,Back,None,2,3,9,10,11,,,,,2,Aircraft,
V1306,Vary,1,3,6,13.6,SID,None,Night,Back,None,2,3,9,10,11,,,,,2,Aircraft,
V1307,Vary,1,3,7,13.7,SID,None,Day,Front,None,2,3,9,10,11,,,,,2,Aircraft,
V1308,Vary,1,3,8,13.8,Star,None,Night,Front,None,2,3,9,10,11,,,,,2,Aircraft,
V1309,Vary,1,3,9,13.9,Star,None,Day,Back,None,2,3,9,10,11,,,,,2,Aircraft,
L2101,Log,2,1,1,21.1,AAR Formation,None,Log,Log,Log,1,2,3,4,5,9,10,,,1,Aircraft,
